word,translation,phonetic,mastered,sentences
"acquisition","NOUN. 習得，收購，採集，習得中，獲取，併購，捕獲，採訪，採購","/ˌækwɪˈzɪʃn/","✗","This paper explores the position of the copula in the development of the verb system in second language acquisition of Italian.;That graphite tennis racquet is quite an acquisition.;The acquisition of sports equipment can be fun in itself."
"amateur","ADJ. 業餘，業餘愛好者，業餘，愛好者，外行 NOUN. 業餘選手","/ˈæmətə(r)/","✗","he conducted extensive correspondence on wines with European suppliers, employing a wine vocabulary familiar to any modern amateur of wines.;amateur sports;Duct tape is a sure sign of amateur workmanship."
"ambush","NOUN. 埋伏，伏擊，伏兵，潛伏","/ˈæmbʊʃ/","✗","to decoy troops into an ambush; to decoy ducks into a net;Additional sentries are keeping watch for any signs of an ambush.;A part of their company, who had been sent out on a skulk, had not returned, and great anxiety was felt lest they had fallen into an ambush and been captured."
"amiable","ADJ. 和藹可親，可親，隨和，可親可敬，平易近人，親切，和藹","/ˈeɪmiəbl/","✗","Which is really useful and amiable to me;an amiable temper;amiable ideas;The sums I have lent him! indeed—I have been exceedingly to blame—it was an amiable weakness!"
"auspicious","ADJ. 吉祥，祥瑞，吉慶，吉利，祥和，吉，瑞，大好，祥","/ɔːˈspɪʃəs/","✗","This is an auspicious day.;Betwixt two seasons comes th' auspicious air, / This age to blossom, and the next to bear.;The addition of Holiday is especially auspicious because while the team is stacked with great offensive players, it is a little lacking on defense, and he fills that gap."
"broom","NOUN. 掃帚，掃把，笤帚，帚，布魯姆，掃","/bruːm/","✗","At the same time, the encroachment of vegetation proceeds apace, and broom and brambles have already made portions of the line impassable, even on foot.;I just got the drop, there is an opp
OFB step with the broom;He got forced to hold that broom, that dickhead reminds me of Cinderella"
"bullet","NOUN. 子彈，顆子彈，槍彈，枚子彈，子彈射，彈，彈頭，槍，劫，彈丸","/ˈbʊlɪt/","✗","John's not going to any of his top schools; he got a bullet from the last of them yesterday.;bullet train; bullet chess;Nakamura is a different animal at 15-minute rapid and five-minute blitz and even more so at one-minute bullet, and in this match he adopted a psychological approach which paid off brilliantly."
"celestial","NOUN. 天朝，天球，天文 ADJ. 天體，仙界，天上，天國","/səˈlestiəl/","✗","We are now living and obeying celestial laws that will make us candidates for celestial glory.;How will you make it through your teenage years spiritually prepared for your celestial future? How will you connect your celestial goals with your everyday life?;However, with true Celestial pertinacity, `John' has stuck to his work."
"cheekbone","NOUN. 顴骨","/ˈtʃiːkbəʊn/","✓","She wanted to shove a sporf through his eyeball and smash her Victorian slotted across his cheekbone.;He looked at Eve, who smiled broadly, two rougelike puffs of excitement on each apple cheekbone.;Using the correct schemes of its application, you can give the person the ideal outlines: Highlight can be applied to the top of the cheekbone."
"chrome","NOUN. 鉻，鍍鉻，鉻鋼，瀏覽器","/krəʊm/","✓","Disrespect my nigga Boss and I'm flashin' the chrome;I ain't trippin' long 'cause I can reach the chrome / Heat your home like Southern California Gas, police pass;I had the idea of making our browser chrome match the actual hardware you were on. If your Mac’s bezel was Bondi blue, we’d make our UI Bondi blue."
"commencement","NOUN. 生效日期，生效，畢業典禮，開課，動工，開始，開工","/kəˈmensmənt/","✗","The time of Henry VII nearly coincides with the commencement of what is termed modern history.;Yet from the commencement of mining there have been unnoble proprietors of mines, who belonged to the class of merchants.;Thanksgiving always falls on a Thursday.  Last year, Commencement fell on June 3."
"compensate","VERB. 補償，賠償，彌補，賠，代償，抵消","/ˈkɒmpenseɪt/","✗","It is hard work, but they will compensate you well for it.;His loud voice cannot compensate for a lack of personality.;To compensate me for his tree landing on my shed, my neighbor paved my driveway."
"congest","X. 使充滿，使擁塞，使充血，充塞，充血，擁擠","/kənd‍ʒˈɛst/","✗","For quotations using this term, see Citations:congest.;Too many tinygrams can congest a network connection.;He came by car and arrived in New York in four hours, and sometimes it took five hours to congest."
"contiguous","ADJ. 鄰接，毗連，連續，相鄰，接壤，相連，毗鄰","/kənˈtɪɡjuəs/","✗","[…] the usual quietness of the day, with us, was broken in upon by the shout of success from the pursuing boats, followed by vehement respondings from the contiguous ship.;the forty-eight contiguous states;Supposing three such houses to be contiguous to a central one, each separated from the latter by a straight wall."
"coordinate","NOUN. 座標，座標系 VERB. 協調，配合，統籌","/kəʊˈɔːdɪneɪt/","✗","two coordinate terms;It can be difficult to coordinate movement of both legs after an operation.;I was playing tennis for the first time, and it was difficult to coordinate."
"cyan","NOUN. 青色，青藍，青","/ˈsaɪæn/","✗","cyan (additive secondary):;cyan (subtractive primary):;By adding and subtracting the three primaries, cyan, yellow, and magenta are produced. These are called subtractive primaries."
"directive","NOUN. 指導，指令，方向性","/dəˈrektɪv/","✗","This door handle must be rotated fully. (the requirement is a directive, necessary to operate the handle);A directive management style is stronger among owners with 'lifestyle' as a business objective than among those with business/economic objectives.;The issue of the directive from the treasury prompted the central bank's most recent issue of currency."
"disband","VERB. 解散","/dɪsˈbænd/","✗","The president wanted to disband the scandal-plagued agency.;Afghanistan: Disarmament programme extendedKabul, October 31, 2007 (IRIN): The government of Afghanistan has extended its programme to disband all illegal armed groups by four years, according to officials.;""How can you disarm and disband an armed group in a rural village where there is no police, no army and no law-enforcing power?"""
"disciple","NOUN. 弟子，門徒，徒弟，信徒，徒","/dɪˈsaɪpl/","✗","God's disciple and his dearest minion;That I have loved you My most puissant disciple I am the fabric of life and death Humanity has perversed the truth;Ex-King Constantine would be regarded as an apt disciple so long as he succeeded in his purpose of hoodwinking the Allies."
"fabulous","ADJ. 神話般，精彩，難以置信，美妙，棒極，傳説","/ˈfæbjələs/","✗","Your functions in subtitle translation within YouTube are fabulous!!! ;Sunshine ranks high in the island's greates burger debate, while the chicken egg rolls with mango chutney and jerk mayo and fabulous fish tacos elevate pub grub to an art.;They include fresh noodles, roasted chickens, savory Italian tortas, caponata and other antipasti like roasted onions in balsamic vinegar, crusty walnut breads, biscotti, and fabulous Italian desserts.;Our fabulous new crumpets have been selling like a bomb."
"finalize","VERB. 敲定，定案，定型，完成","/ˈfaɪnəlaɪz/","✗","As soon as we get the plane tickets, we'll finalize our reservations with the hotel.;Select OK on Sensor Setup window to finalize programming.;It remains to finalize all small details and German tank Paten."
