word,translation,phonetic,mastered,sentences
"acquisition","NOUN. 習得，收購，採集，習得中，獲取，併購，捕獲，採訪，採購","/ˌækwɪˈzɪʃn/","✗","This paper explores the position of the copula in the development of the verb system in second language acquisition of Italian.;That graphite tennis racquet is quite an acquisition.;The acquisition of sports equipment can be fun in itself."
"allegory","NOUN. 寓言，寓言故事，寓意","/ˈæləɡəri/","✗","Mrs Malaprop said, “He’s as headstrong as an allegory on the banks of the Nile.”;More affected by Cabbalic and Hermetic studies than Mede, he too uses allegory in his exposition of the Scriptures, and in teaching constantly quotes the prophetic books.;In the Fairy Queen, allegory is wrought upon chivalry, and the feats and figments of Arthur’s round table are moralised."
"amateur","ADJ. 業餘，業餘愛好者，業餘，愛好者，外行 NOUN. 業餘選手","/ˈæmətə(r)/","✗","he conducted extensive correspondence on wines with European suppliers, employing a wine vocabulary familiar to any modern amateur of wines.;amateur sports;Duct tape is a sure sign of amateur workmanship."
"ambush","NOUN. 埋伏，伏擊，伏兵，潛伏","/ˈæmbʊʃ/","✓","to decoy troops into an ambush; to decoy ducks into a net;Additional sentries are keeping watch for any signs of an ambush.;A part of their company, who had been sent out on a skulk, had not returned, and great anxiety was felt lest they had fallen into an ambush and been captured."
"amiable","ADJ. 和藹可親，可親，隨和，可親可敬，平易近人，親切，和藹","/ˈeɪmiəbl/","✗","Which is really useful and amiable to me;an amiable temper;amiable ideas;The sums I have lent him! indeed—I have been exceedingly to blame—it was an amiable weakness!"
"annex","NOUN. 附件，附錄，兼併，附表 VERB. 吞併","/ˈæneks/","✗","Under Edward the Second, the Commons began to annex petitions to the bills by which they granted subsidies;to annex a penalty to a prohibition, or punishment to guilt;Next to sorrow still I may annex such accidents as procure fear; for besides those terrors which I have before touched, […] there is a superstitious fear […] which much trouble many of us."
"applicable","ADJ. 適用，適，實用，適合","/əˈplɪkəbl/","✗","This rule is not applicable to the longer-standing members of the club.;An advice issued by a Monitoring Committee could be applicable in a Dutch court;the question arises, whether an advice issued by a Monitoring Committee would actually be applicable in a Dutch court"
"appropriately","ADV. 適當，得體，恰當，妥善，貼切，適度，得當","/əˈprəʊpriətli/","✗","On the way out of the building I was asked for my autograph. If I'd known who the signature hound thought I was, I would've signed appropriately.;Their fellow diners, like their ketchupped grub, were appropriately dashed and splattered with paint and plaster, reading their Suns and Daily Mirror.;Good will is also secured by plussing the original purchase with another article that goes appropriately with it."
"auspicious","ADJ. 吉祥，祥瑞，吉慶，吉利，祥和，吉，瑞，大好，祥","/ɔːˈspɪʃəs/","✗","This is an auspicious day.;Betwixt two seasons comes th' auspicious air, / This age to blossom, and the next to bear.;The addition of Holiday is especially auspicious because while the team is stacked with great offensive players, it is a little lacking on defense, and he fills that gap."
"bluff","NOUN. 虛張聲勢，鈍，詐唬，嚇唬，懸崖，崖，攤牌","/blʌf/","✗","That is only bluff, or a bluff.;John's bet was a bluff: he bet without even so much as a pair.;BLUFF OR POKER [title of a chapter]"
