word,translation,phonetic,mastered,sentences
"abrupt","ADJ. Broken away (from restraint).，Without notice to prepare the mind for the event; sudden; hasty; unceremonious.，Curt in manner.，Having sudden transitions from one subject or state to another; unconnected; disjointed.，Broken off.，Extremely steep or craggy as if broken up; precipitous.，Suddenly terminating, as if cut off; truncate. VERB. To tear off or asunder.，To interrupt suddenly. NOUN. Something which is abrupt; an abyss.","/əˈbrʌpt/","✗","The party came to an abrupt end when the parents of our host arrived.;The cause of your abrupt departure.;'Is it a slickstone?' she asks, and Maren snorts, an abrupt sound, bringing her hand up to her mouth."
"accessibility","NOUN. The quality of being accessible, or of admitting approach; receptiveness.，Features that increase software usability for users with certain impairments.","/əkˌsesəˈbɪləti/","✓","He says the company's FLIRT design, in particular its retractable steps, provides greater accessibility, while the technology is highly innovative and reliable.;Now, covered concrete troughs to house the cables are laid parallel with the railway lines, cheapening maintenance because of improved accessibility for inspection and repair.;They will feature wider gangways for better wheelchair accessibility, as well as compatibility with platform screen doors - should these ever be introduced in the future."
"acquisition","NOUN. The act or process of acquiring.，The thing acquired or gained; a gain.，The process of sampling signals that measure real world physical conditions and converting these signals into digital numeric values that can be manipulated by a computer.","/ˌækwɪˈzɪʃn/","✗","This paper explores the position of the copula in the development of the verb system in second language acquisition of Italian.;That graphite tennis racquet is quite an acquisition.;The acquisition of sports equipment can be fun in itself."
"allegory","NOUN. A narrative in which a character, place, or event is used to deliver a broader message about real-world issues and occurrences.，A picture, book, or other form of communication using such representation.，A symbolic representation which can be interpreted to reveal a hidden meaning, usually a moral or political one.，A category that retains some of the structure of the category of binary relations between sets, representing a high-level generalisation of that category.","/ˈæləɡəri/","✗","Mrs Malaprop said, “He’s as headstrong as an allegory on the banks of the Nile.”;More affected by Cabbalic and Hermetic studies than Mede, he too uses allegory in his exposition of the Scriptures, and in teaching constantly quotes the prophetic books.;In the Fairy Queen, allegory is wrought upon chivalry, and the feats and figments of Arthur’s round table are moralised."
"alleviate","VERB. To reduce or lessen the severity of a pain or difficulty.","/əˈliːvieɪt/","✗","High-bandwidth memory (HBM) helps alleviate this bottleneck by providing more storage capacity and data bandwidth using system in package (SiP) memory technology to stack DRAM chips vertically and using a wide (1024-bit) interface.;alleviate his pain;Alcohol is often a cheap tool to alleviate the stress of a hard day.;The visitor in Man Facing South-east claims pure altruism; Rantes (Hugo Soto) wants to alleviate the suffering of the poor and helpless."
"along the lines of","ADP. Similar to, but not exactly equal.","","✗","You stated in a comment above that your dataframe is defined along the lines of df = df_all.loc[df_all['issueid']==specific_id,:]. "
"amateur","NOUN. A lover of something.，A person attached to a particular pursuit, study, science, or art (such as music or painting), especially one who cultivates any study, interest, taste, or attachment without engaging in it professionally.，Someone who is unqualified or insufficiently skillful. ADJ. Non-professional.，Created, done, or populated by amateurs or non-professionals.，Showing a lack of professionalism, experience or talent.","/ˈæmətə(r)/","✗","he conducted extensive correspondence on wines with European suppliers, employing a wine vocabulary familiar to any modern amateur of wines.;amateur sports;Duct tape is a sure sign of amateur workmanship."
"ambush","NOUN. The act of concealing oneself and lying in wait to attack by surprise.，An attack launched from a concealed position.，The concealed position or state from which a surprise attack is launched.，The troops posted in a concealed place, for attacking by surprise; those who lie in wait. VERB. To station in ambush with a view to surprise an enemy.，To attack by ambush; to waylay.","/ˈæmbʊʃ/","✓","to decoy troops into an ambush; to decoy ducks into a net;Additional sentries are keeping watch for any signs of an ambush.;A part of their company, who had been sent out on a skulk, had not returned, and great anxiety was felt lest they had fallen into an ambush and been captured."
"amiable","ADJ. Friendly; kind; sweet; gracious，Of a pleasant and likeable nature; kind-hearted; easy to like","/ˈeɪmiəbl/","✗","Which is really useful and amiable to me;an amiable temper;amiable ideas;The sums I have lent him! indeed—I have been exceedingly to blame—it was an amiable weakness!"
"anesthesia","NOUN. An artificial method of preventing sensation, used to eliminate pain without causing loss of vital functions, by the administration of one or more agents which block pain impulses before transmitted to the brain.，The loss or prevention of sensation, as caused by anesthesia (in the above sense), or by a lesion in the nervous system, or by another physical abnormality.，Synonym of anesthetic","/ˌænəsˈθiːziə/","✗","General anesthesia may decrease the functional residual capacity (FRC) for up to 1 to 2 weeks postoperatively.;light sleep; light anesthesia;The patient didn't want to be sedated, so we applied only local anesthesia."
