word,translation,phonetic,mastered,sentences
"acquisition","NOUN. The act or process of acquiring.，The thing acquired or gained; a gain.，The process of sampling signals that measure real world physical conditions and converting these signals into digital numeric values that can be manipulated by a computer.","/ˌækwɪˈzɪʃn/","✗","This paper explores the position of the copula in the development of the verb system in second language acquisition of Italian.;That graphite tennis racquet is quite an acquisition.;The acquisition of sports equipment can be fun in itself."
"amateur","NOUN. A lover of something.，A person attached to a particular pursuit, study, science, or art (such as music or painting), especially one who cultivates any study, interest, taste, or attachment without engaging in it professionally.，Someone who is unqualified or insufficiently skillful. ADJ. Non-professional.，Created, done, or populated by amateurs or non-professionals.，Showing a lack of professionalism, experience or talent.","/ˈæmətə(r)/","✗","he conducted extensive correspondence on wines with European suppliers, employing a wine vocabulary familiar to any modern amateur of wines.;amateur sports;Duct tape is a sure sign of amateur workmanship."
"amiable","ADJ. Friendly; kind; sweet; gracious，Of a pleasant and likeable nature; kind-hearted; easy to like","/ˈeɪmiəbl/","✗","Which is really useful and amiable to me;an amiable temper;amiable ideas;The sums I have lent him! indeed—I have been exceedingly to blame—it was an amiable weakness!"
"chrome","NOUN. Chromium, when used to plate other metals.，handguns，The basic structural elements used in a graphical user interface, such as window frames and scroll bars, as opposed to the content. VERB. To plate with chrome.，To treat with a solution of potassium bichromate, as in dyeing.","/krəʊm/","✓","Disrespect my nigga Boss and I'm flashin' the chrome;I ain't trippin' long 'cause I can reach the chrome / Heat your home like Southern California Gas, police pass;I had the idea of making our browser chrome match the actual hardware you were on. If your Mac’s bezel was Bondi blue, we’d make our UI Bondi blue."
"commencement","NOUN. The first existence of anything; act or fact of commencing; the beginning.，The day when degrees are conferred by colleges and universities upon students and others.，A graduation ceremony, from a school, college or university. Sometimes before the actual graduation.","/kəˈmensmənt/","✗","The time of Henry VII nearly coincides with the commencement of what is termed modern history.;Yet from the commencement of mining there have been unnoble proprietors of mines, who belonged to the class of merchants.;Thanksgiving always falls on a Thursday.  Last year, Commencement fell on June 3."
"disband","VERB. To break up or (cause to) cease to exist; to disperse.，To loose the bands of; to set free.，To divorce.","/dɪsˈbænd/","✗","The president wanted to disband the scandal-plagued agency.;Afghanistan: Disarmament programme extendedKabul, October 31, 2007 (IRIN): The government of Afghanistan has extended its programme to disband all illegal armed groups by four years, according to officials.;""How can you disarm and disband an armed group in a rural village where there is no police, no army and no law-enforcing power?"""
"fabulous","ADJ. Of or relating to fable, myth or legend.，Characteristic of fables; marvelous, extraordinary, incredible.，Fictional or not believable; made up.，Known for telling fables or falsehoods; unreliable.，Very good; outstanding, wonderful.，Gay or pertaining to gay people.，Camp, effeminate.，Fashionable, glamorous.","/ˈfæbjələs/","✗","Your functions in subtitle translation within YouTube are fabulous!!! ;Sunshine ranks high in the island's greates burger debate, while the chicken egg rolls with mango chutney and jerk mayo and fabulous fish tacos elevate pub grub to an art.;They include fresh noodles, roasted chickens, savory Italian tortas, caponata and other antipasti like roasted onions in balsamic vinegar, crusty walnut breads, biscotti, and fabulous Italian desserts.;Our fabulous new crumpets have been selling like a bomb."
"grant","VERB. to give (permission or wish)，To give (bestow upon or confer, particularly in answer to prayer or request)，To agree with (someone) on (something); to accept (something) for the sake of argument; to admit to (someone) that (something) is true.，To assent; to consent. NOUN. The act of granting or giving，The yielding or admission of something in dispute.，The thing or property granted; a gift; a boon.，A transfer of property by deed or writing; especially, an appropriation or conveyance made by the government.，The deed or writing by which such a transfer is made.，An application for a grant (monetary boon to aid research or the like).，A United States fifty-dollar bill. (From the portrait of Ulysses S. Grant featured on them.) PROPN. An English surname transferred from the nickname and a Scottish clan name, from a nickname meaning ""large"".，A male given name transferred from the surname.，A placename
A number of places in the United States:
A town in Marshall County, Alabama.，A placename
A number of places in the United States:
An unincorporated community in Inyo County, California.，A placename
A number of places in the United States:
An unincorporated community in Park County, Colorado.，A placename
A number of places in the United States:
A city in Washington County, Minnesota.，A placename
A number of places in the United States:
A small city, the county seat of Perkins County, Nebraska.，A placename
A number of places in the United States:
An unincorporated community in Hardin County, Ohio.，A placename
A number of places in the United States:
An unincorporated community in Mason County, Washington.，A placename
A number of places in the United States:
A town in Dunn County, Wisconsin.，A placename
A number of places in the United States:
A town in Portage County, Wisconsin.，A placename
A number of places in the United States:
A town in Shawano County, Wisconsin.，A placename
A former rural locality in Barcaldine Region, Queensland, Australia.，A placename
A village in Tolmin, Slovenia，A placename
Ellipsis of Grant Parish.，A placename
Ellipsis of Grant Town.，A placename
Ellipsis of Grant Township.，A placename
A number of places in the United States:
A small city in Montgomery County, Iowa.，A placename
A number of places in the United States:
A small city in Newaygo County, Michigan.，A placename
A number of places in the United States:
A town in Clark County, Wisconsin.，A placename
A number of places in the United States:
A town in Monroe County, Wisconsin.，A placename
A number of places in the United States:
A town in Rusk County, Wisconsin.，A placename
A number of places in the United States:
A large number of townships in the United States, listed under Grant Township.，A placename
The Rural Municipality of Grant No. 372, a rural municipality in Saskatchewan, Canada.，A placename
Ellipsis of Grant City.，A placename
Ellipsis of Grant County.","/ɡrɑːnt/","✗","God, grant me the serenity[…];the grant of permission for a project;I got a grant from the government to study archeology in Egypt."
"incognito","ADJ. Without being known; in an assumed character, or under an assumed title; in disguise. ADV. Without revealing one's identity. NOUN. One unknown or in disguise, or under an assumed character or name.，The assumption of disguise or of a feigned character; the state of being in disguise or not recognized.","/ˌɪnkɒɡˈniːtəʊ/","✗","His keynote speech was delivered on his arrival, incognito, in al-Kufah, which at the time was a focus of Khariji dissidence.;1864,, William Stephens Hayward, Revelations of a Lady Detective, short story ""Incognito"", George Vickers, Strand
I pulled the check-string, and gave him [the coachdriver] his instructions.;But we would submit that it is going much too far to claim that all secularization arises from biblical influences—albethey indirect or incognito in many cases."
"markup","NOUN. The percentage or amount by which a seller hikes up his buy-in price when determining his selling price.，An increase in price.，The notation that is used to indicate the meaning of the elements in an electronic document, or to dictate how text should be displayed.，The process by which proposed legislation is debated and amended.","/ˈmɑːkʌp/","✗","You don’t make much money selling gas because the markup is so low.;There will be a markup on those products next week; better buy them now.;For example, a filename of “home.html” would be appropriate for an ASCII/text file containing HTML markup."
"mascara","NOUN. A cosmetic used to darken and thicken the eyelashes. VERB. To apply mascara to the eyelashes PROPN. A city and provincial capital in northwestern Algeria.，A province of Algeria","/mæˈskɑːrə/","✗","apply mascara;put on mascara;mascara runs"
"quorum","NOUN. The minimum number of members required for a group to officially conduct business and to cast votes, often but not necessarily a majority or supermajority.，A selected body of persons.","/ˈkwɔːrəm/","✗","We can discuss the issue tonight, but cannot vote until we have a quorum.;If one is praying without a minyan (quorum), he should not say Hashem, Hashem in the manner of supplication but rather should read it in a cantillatory style.;In addition, some roseobacters have been shown to utilize other signaling molecules apart from AHLs in quorum sensing, i.e. tropodithietic acid (TDA) (Geng and Belas 2010a)."
"safari","NOUN. A trip into any undeveloped area to see, photograph or hunt wild animals in their own environment.，A caravan going on a safari.，Any trip for the purpose of discovering something new or acquiring prizes or trophies. VERB. To take part in a safari.","/səˈfɑːri/","✗","We're going on a safari in Kenya.;An ardent junker herself, Mrs. Egge tells how to conduct a fascinating junk safari into the attic or antique and secondhand shops and what to do with the trophies you bring home.;Come on, boy, move that body/ 'Cause tonight I'm naughty, naughty/ Dance with me like it's my party/ We go wild, we're in safari"
"scenario","NOUN. An outline of the plot of a dramatic or literary work.，A screenplay itself, or an outline or a treatment of it.，An outline or model of an expected or supposed sequence of events.","/səˈnɑːriəʊ/","✗","Hearts were keen to avoid a repeat of the scenario at this stage of last season's competition, when they found themselves two goals down inside the opening quarter of an hour.;Warnock admitted it would be the ideal scenario if he received a Carling Cup winners' medal as well as an England call-up[…].;In this scenario, the growth rates are higher for the economic tigers than for the other economies."
"sphinx","NOUN. A creature with the head of a person and the body of an animal (commonly a lion).，A person who keeps his/her thoughts and intentions secret; an enigmatic or impassive person.，A mandrill (Mandrillus sphinx), formerly classified as a baboon, and called sphinx baboon.，A sphinx moth.，A sphincter. VERB. To decorate with sphinxes.，To adopt the posture of the Sphinx.，To be inscrutable, often through silence.，To behave in a manner characteristic of the Sphinx. PROPN. An ancient, large statue in Egypt, with the face of a man and the body of a lion, lying near the Great Pyramids.，One of the many offspring of Typhon and Echidna, a winged lion-like creature with a woman's face, who committed suicide out of frustration after Oedipus managed to solve her riddles.","/sfɪŋks/","✗","The secret of Man's Being is still like the Sphinx's secret: a riddle that he cannot rede.;Some consider the defacement of the Sphinx to be the most egregious crime of Napolean's campaigns.;Sara, oh Sara / Scorpio Sphinx in a calico dress"
"subsequent","ADJ. Following in time; coming or being after something else at any time, indefinitely.，Following in order of place; succeeding.，Following a line in the earth that is more easily eroded. NOUN. A subsequent stream or faultline.","/ˈsʌbsɪkwənt/","✗","Growth was dampened by a softening of the global economy in 2001, but picked up in the subsequent years due to strong growth in China.;On 2 March, Chinese border guards with the help of regular PLA forces skillfully ambushed Strelnikov's unit on the ice near Chen Pao, killing him and 30 Soviets in the subsequent skirmish.;The peculiar position of the subsequent Derwent, close to the sea, suggests some glacial interference with normal adjustments, and calls for special explanation."
"unwed","ADJ. Not married. NOUN. One who is not married; a bachelor or a spinster. VERB. To separate.，To annul the marriage of.","/ˌʌnˈwed/","✗","My biological mother was a young, unwed college graduate student, and she decided to put me up for adoption. ;At last it was determined to unwed the unhappy pair, during the arrangements for which the husband was arrested and put into jail for six months for rioting.;The unwed, government dependent sheboons who use food as a babysitter, while stuffing their own faces constantly.;One of the rising female talents in the Indonesian film industry, director Pritagita Arianegara debuts with Salawaku, depicting profound contrasts between beautiful oceanscapes and struggling, unwed mothers."
